,token,oc_list
1744,principalmente,"[(15, 1), (50, 1), (70, 1), (89, 1), (119, 1)]"
1745,atualmente,"[(15, 1), (70, 1), (75, 1), (91, 1), (98, 1), (117, 1), (118, 1), (133, 1)]"
1746,vergonhoso,"[(15, 1)]"
1747,declarar,"[(15, 2)]"
1748,evangélico,"[(15, 1), (136, 1)]"
1749,católico,"[(15, 1)]"
1750,espalhado,"[(15, 1)]"
1751,concretizado,"[(15, 1)]"
1752,escândalos,"[(15, 1), (129, 1)]"
1753,esquemas,"[(15, 1), (18, 1)]"
1754,má,"[(15, 1)]"
1755,fé,"[(15, 1), (32, 1), (39, 1), (71, 1), (86, 1), (118, 1)]"
1756,violências,"[(15, 2)]"
1757,maracutaias,"[(15, 1)]"
1758,acumulam,"[(15, 1)]"
1759,aí,"[(15, 2), (39, 1), (49, 1), (50, 1), (56, 1), (78, 1), (98, 1), (111, 1), (118, 10), (119, 1)]"
1760,cristo,"[(15, 5), (32, 1), (35, 1), (56, 1)]"
1761,forma,"[(15, 1), (17, 1), (37, 1), (44, 2), (50, 5), (51, 2), (70, 6), (75, 1), (86, 1), (93, 1), (98, 1), (99, 1), (118, 2), (126, 1), (136, 1)]"
1762,acumulado,"[(15, 1)]"
1763,legitimado,"[(15, 1)]"
1764,teologias,"[(15, 1)]"
1765,prosperidade,"[(15, 1)]"
1766,inúmeras,"[(15, 1), (105, 1)]"
1767,organizações,"[(15, 1), (91, 1), (137, 2)]"
1768,congregações,"[(15, 1)]"
1769,ditas,"[(15, 1)]"
1770,cristãs,"[(15, 3)]"
1771,rastro,"[(15, 1)]"
1772,destruição,"[(15, 4)]"
1773,realmente,"[(15, 1), (50, 1), (51, 1), (59, 1), (65, 1), (75, 1), (98, 1), (99, 3)]"
1774,soma-se,"[(15, 1)]"
1775,últimos,"[(15, 1), (17, 1), (44, 1), (50, 1), (51, 2), (70, 2), (75, 2), (89, 1), (109, 1), (119, 1), (120, 1)]"
1776,tempos,"[(15, 1), (19, 1), (29, 1), (60, 1), (75, 1), (99, 1), (109, 1), (129, 1), (142, 1)]"
1777,cruzada,"[(15, 1), (120, 1)]"
1778,escalada,"[(15, 1), (99, 1)]"
1779,rumo,"[(15, 1), (16, 1), (29, 1)]"
1780,método,"[(15, 1), (44, 3), (94, 1)]"
1781,custe,"[(15, 1), (45, 1)]"
1782,custar,"[(15, 1), (45, 1)]"
1783,através,"[(15, 4), (18, 1), (29, 1), (50, 1), (65, 1), (93, 1), (117, 1), (120, 1), (126, 1), (137, 1)]"
1784,bancada,"[(15, 2), (29, 1), (98, 1), (129, 1), (136, 2), (146, 1)]"
1785,evangélica,"[(15, 2)]"
1786,articuladíssima,"[(15, 1)]"
1787,bancadas,"[(15, 1), (137, 1)]"
1788,representam,"[(15, 1)]"
1789,agronegócio,"[(15, 1), (17, 1)]"
1790,comércio,"[(15, 1), (45, 1), (76, 1), (98, 1), (126, 1)]"
1791,mineração,"[(15, 1)]"
1792,espoliação,"[(15, 1)]"
1793,ambiental,"[(15, 1), (75, 1)]"
1794,mostrado,"[(15, 1), (18, 1), (101, 1), (137, 1)]"
1795,alinhada,"[(15, 1)]"
1796,operações,"[(15, 1), (73, 1), (118, 3)]"
1797,violentas,"[(15, 1)]"
1798,milicianos,"[(15, 1)]"
1799,possuem,"[(15, 1), (44, 1)]"
1800,grandes,"[(15, 1), (35, 1), (51, 3), (65, 2), (86, 1), (93, 1), (99, 8), (123, 1), (124, 1)]"
1801,estapafúrdias,"[(15, 1)]"
1802,ligações,"[(15, 1), (137, 1)]"
1803,permanece,"[(15, 1)]"
1804,declaração,"[(15, 2), (18, 1), (29, 1), (35, 1), (47, 1)]"
1805,acerca,"[(15, 1), (70, 1)]"
1806,contar,"[(15, 1), (18, 2), (19, 1), (56, 3), (66, 2), (70, 1), (75, 1)]"
1807,misteriosos,"[(15, 1)]"
1808,financiamentos,"[(15, 2)]"
1809,norte-americanos,"[(15, 1), (126, 1)]"
1810,campanha,"[(15, 1), (37, 2), (44, 1), (49, 1), (64, 1), (65, 2), (70, 1), (71, 2), (75, 2), (82, 1), (86, 1), (96, 1), (98, 1), (99, 1), (117, 1), (136, 3), (137, 1)]"
1811,eleitoral,"[(15, 1), (37, 1), (70, 3), (75, 2), (86, 1), (110, 1), (136, 2)]"
1812,apoio,"[(15, 4), (29, 1), (32, 1), (35, 1), (44, 2), (46, 1), (50, 1), (51, 1), (53, 1), (69, 1), (70, 2), (72, 1), (73, 1), (76, 2), (91, 1), (99, 1), (105, 1), (108, 1)]"
1813,extrema,"[(15, 1), (76, 1), (99, 13), (109, 12), (110, 1)]"
1814,grupos,"[(15, 2), (37, 1), (45, 1), (47, 1), (50, 2), (75, 1), (91, 1), (99, 3), (109, 2)]"
1815,fascistas,"[(15, 1), (64, 1)]"
1816,portanto,"[(15, 1), (45, 2), (75, 1), (83, 1), (89, 2), (108, 1), (120, 2), (124, 1), (129, 1), (139, 1)]"
1817,trás,"[(15, 1), (50, 1), (91, 1), (111, 1)]"
1818,apoios,"[(15, 1)]"
1819,principal,"[(15, 1), (29, 2), (50, 1), (51, 1), (70, 1), (75, 1), (120, 1), (136, 1)]"
1820,tal,"[(15, 1), (45, 1), (83, 1), (89, 1), (99, 1), (106, 1), (118, 1), (123, 1), (133, 1)]"
1821,brasileiros,"[(15, 1), (46, 1), (51, 1), (56, 1), (64, 2), (65, 1), (71, 3), (73, 4), (75, 2), (83, 1), (94, 2), (99, 6), (101, 1), (111, 1), (118, 1), (119, 1), (121, 1), (129, 3), (137, 2), (142, 1)]"
1822,acreditar,"[(15, 1), (29, 1)]"
1823,jesus,"[(15, 6), (22, 1), (35, 1), (37, 1), (56, 1), (98, 1)]"
1824,frases,"[(15, 1), (75, 1), (98, 1), (119, 1)]"
1825,torturar,"[(15, 1)]"
1826,matar,"[(15, 1), (56, 1), (98, 1), (118, 2), (137, 1)]"
1827,pinochet,"[(15, 1), (65, 1), (76, 1), (86, 1)]"
1828,deveria,"[(15, 1), (17, 1), (35, 1), (59, 1), (65, 1), (73, 1), (86, 1)]"
1829,matado,"[(15, 2)]"
1830,incapaz,"[(15, 1), (56, 1), (65, 1)]"
1831,amar,"[(15, 1)]"
1832,homossexual,"[(15, 1)]"
1833,prefiro,"[(15, 1)]"
1834,morra,"[(15, 1), (109, 1)]"
1835,acidente,"[(15, 1), (37, 1), (65, 1), (73, 1), (124, 1)]"
1836,apareça,"[(15, 1)]"
1837,bigodudo,"[(15, 1)]"
1838,estupro,"[(15, 1), (129, 1)]"
1839,pm,"[(15, 1)]"
1840,devia,"[(15, 1), (56, 3)]"
1841,presos,"[(15, 1), (16, 2), (29, 1), (56, 2), (86, 1), (94, 1), (109, 1), (111, 1), (118, 1), (129, 5)]"
1842,memória,"[(15, 2), (16, 1), (37, 1), (56, 1), (65, 2), (142, 1)]"
1843,coronel,"[(15, 1), (50, 1)]"
1844,alberto,"[(15, 1), (37, 1), (98, 1), (129, 1)]"
1845,brilhante,"[(15, 1), (56, 1), (129, 1)]"
1846,ustra,"[(15, 1), (50, 1), (129, 1)]"
1847,pavor,"[(15, 1)]"
1848,dilma,"[(15, 1), (45, 1), (46, 1), (50, 1), (64, 1), (78, 1), (91, 14), (93, 1), (99, 5), (141, 1)]"
1849,rousseff,"[(15, 1), (45, 1), (46, 1), (64, 1), (78, 1), (91, 1), (93, 1), (99, 4), (141, 1)]"
1850,citarmos,"[(15, 1)]"
1851,criminosas,"[(15, 1), (137, 2)]"
1852,fluem,"[(15, 1)]"
1853,boca,"[(15, 1), (45, 1), (52, 1), (118, 1)]"
1854,aparente,"[(15, 1)]"
1855,naturalidade,"[(15, 1), (133, 1)]"
1856,última,"[(15, 1), (48, 1), (50, 2), (51, 1), (70, 1), (109, 1), (111, 3), (141, 1)]"
1857,orientava,"[(15, 1)]"
1858,celebrar,"[(15, 1)]"
1859,comemorar,"[(15, 2), (45, 1), (66, 2), (111, 4)]"
1860,abril,"[(15, 1), (16, 1), (33, 1), (111, 1), (117, 5), (118, 7), (120, 1), (123, 1), (134, 1)]"
1861,mentira,"[(15, 2), (37, 1), (73, 2), (89, 1)]"
1862,coincidisse,"[(15, 1)]"
1863,frágil,"[(15, 2), (75, 1)]"
1864,sofria,"[(15, 1), (129, 1)]"
1865,deposto,"[(15, 1), (65, 1), (129, 1)]"
1866,sangrenta,"[(15, 1)]"
1867,sermos,"[(15, 1)]"
1868,diretos,"[(15, 1)]"
1869,acontecimentos,"[(15, 1)]"
1870,brutais,"[(15, 1)]"
1871,violentos,"[(15, 1), (109, 1), (126, 1)]"
1872,toda,"[(15, 1), (16, 1), (39, 1), (43, 2), (48, 1), (49, 1), (50, 2), (71, 1), (73, 1), (75, 1), (89, 1), (99, 2), (108, 1), (111, 1), (118, 2), (125, 2), (126, 1), (128, 2), (129, 1)]"
1873,democrática,"[(15, 1), (98, 1), (105, 1)]"
1874,cassada,"[(15, 1), (133, 1)]"
1875,suspensa,"[(15, 1)]"
1876,governada,"[(15, 1), (126, 1)]"
1877,presidentes,"[(15, 2), (50, 1), (53, 1), (75, 2), (86, 1), (99, 1)]"
1878,melhor,"[(15, 1), (18, 1), (19, 1), (29, 2), (50, 1), (51, 2), (60, 1), (63, 1), (66, 1), (111, 2), (123, 1), (124, 1)]"
1879,ditadores,"[(15, 1), (16, 1), (45, 1), (86, 1), (98, 1)]"
1880,marechais,"[(15, 1)]"
1881,generais,"[(15, 1), (86, 1)]"
1882,responsáveis,"[(15, 1), (35, 1), (39, 2), (44, 1), (46, 1), (75, 1), (98, 1), (126, 1)]"
1883,aparato,"[(15, 1)]"
1884,repressor,"[(15, 1), (16, 1)]"
1885,violento,"[(15, 1), (16, 1), (56, 1), (109, 1)]"
1886,promoveu,"[(15, 1)]"
1887,várias,"[(15, 1), (18, 1), (109, 1), (111, 1), (112, 1)]"
1888,execuções,"[(15, 1)]"
1889,torturas,"[(15, 1), (56, 2), (99, 1)]"
1890,estupros,"[(15, 1)]"
1891,desaparecimentos,"[(15, 2)]"
1892,sujeitos,"[(15, 1)]"
1893,exílios,"[(15, 1)]"
1894,censuras,"[(15, 1)]"
1895,criminalizações,"[(15, 1)]"
1896,viscerais,"[(15, 1)]"
1897,possíveis,"[(15, 1), (46, 1), (129, 1), (133, 1)]"
1898,deixando,"[(15, 1), (49, 1), (67, 1), (126, 1)]"
1899,dolorida,"[(15, 1)]"
1900,influência,"[(15, 1)]"
1901,américa,"[(15, 1), (18, 2), (51, 1), (71, 1), (75, 1), (94, 1), (126, 2)]"
1902,latina,"[(15, 1), (75, 1), (94, 1), (99, 3)]"
1903,ditatoriais,"[(15, 4)]"
1904,semelhantes,"[(15, 1), (16, 1), (101, 1)]"
1905,contudo,"[(15, 1)]"
1906,dito,"[(15, 1), (50, 1), (54, 1), (121, 1), (142, 1)]"
1907,perguntamos,"[(15, 1)]"
1908,nesse,"[(15, 2), (18, 2), (50, 1), (65, 1), (70, 1), (75, 1), (89, 1), (99, 2), (118, 1), (120, 2), (122, 1), (136, 1), (140, 1)]"
1909,corroborar,"[(15, 1)]"
1910,legitimar,"[(15, 1), (64, 1), (133, 1)]"
1911,encaixa,"[(15, 1)]"
1912,perspectiva,"[(15, 1), (29, 1), (86, 1)]"
1913,evangelho,"[(15, 1), (35, 1)]"
1914,cristãos,"[(15, 2), (32, 1), (35, 1)]"
1915,responsável,"[(15, 1), (18, 1), (46, 1), (64, 1), (91, 2), (98, 3), (136, 1), (137, 1), (142, 1)]"
1916,amor,"[(15, 6), (39, 1), (56, 1), (75, 1), (86, 1)]"
1917,revolucionário,"[(15, 2), (109, 1)]"
1918,inteiro,"[(15, 1), (99, 1)]"
1919,assassinado,"[(15, 1), (98, 1)]"
1920,uns,"[(15, 1), (56, 3), (118, 2)]"
1921,impérios,"[(15, 1)]"
1922,poderosos,"[(15, 1), (51, 1), (93, 1), (99, 1), (138, 3)]"
1923,articulação,"[(15, 1), (29, 1), (45, 1), (86, 1), (89, 1), (98, 2), (105, 1), (108, 1), (136, 4)]"
1924,religiosos,"[(15, 1), (86, 1), (129, 1)]"
1925,fundamentalistas,"[(15, 1)]"
1926,torturado,"[(15, 2), (59, 1), (118, 1)]"
1927,executado,"[(15, 2), (94, 1), (98, 2)]"
1928,denunciar,"[(15, 1), (35, 1), (117, 1)]"
1929,hipocrisia,"[(15, 1), (128, 1)]"
1930,povo,"[(15, 2), (16, 2), (39, 1), (50, 3), (71, 1), (75, 1), (76, 2), (94, 2), (99, 3), (105, 1), (111, 1), (125, 2), (128, 4), (140, 1)]"
1931,ensinar,"[(15, 1), (122, 1)]"
1932,proclamar,"[(15, 2)]"
1933,deus,"[(15, 7), (34, 1), (39, 1), (56, 1), (65, 1), (118, 2), (121, 1), (136, 1), (138, 1), (139, 1)]"
1934,cabia,"[(15, 1)]"
1935,preceitos,"[(15, 1), (65, 2)]"
1936,rituais,"[(15, 1)]"
1937,dogmas,"[(15, 1)]"
1938,feito,"[(15, 1), (18, 1), (19, 1), (35, 2), (37, 2), (59, 1), (86, 1), (98, 2), (106, 1), (110, 1), (111, 1), (118, 1), (120, 2), (141, 4)]"
1939,humanidade,"[(15, 3), (99, 1)]"
1940,manifestado,"[(15, 1), (121, 1)]"
1941,favela,"[(15, 1), (118, 5)]"
1942,palestina,"[(15, 1), (72, 1), (73, 1), (76, 1), (82, 1)]"
1943,oprimidos,"[(15, 2)]"
1944,divino,"[(15, 1)]"
1945,marginalizados,"[(15, 1)]"
1946,terra,"[(15, 1), (16, 1), (17, 1), (35, 1), (50, 4), (75, 1), (91, 6), (98, 4), (99, 1), (101, 1), (117, 1)]"
1947,comemoração,"[(15, 2), (111, 1), (142, 1)]"
1948,destruíram,"[(15, 1)]"
1949,vidas,"[(15, 1), (52, 1), (109, 1), (118, 4)]"
1950,transformou,"[(15, 1), (56, 1)]"
1951,ousou,"[(15, 1)]"
1952,transformar,"[(15, 1), (50, 1), (89, 1), (98, 2)]"
1953,consiste,"[(15, 1)]"
1954,osso,"[(15, 1)]"
1955,decidido,"[(15, 1)]"
1956,optou,"[(15, 1), (46, 1)]"
1957,redimir,"[(15, 1)]"
1958,império,"[(15, 1)]"
1959,romano,"[(15, 1)]"
1960,confraria,"[(15, 1)]"
1961,religiosa,"[(15, 1)]"
1962,judaica,"[(15, 1), (47, 1)]"
1963,porém,"[(15, 1), (16, 2), (19, 1), (54, 1), (98, 1), (142, 1)]"
1964,atravessaram,"[(15, 1)]"
1965,séculos,"[(15, 1)]"
1966,permaneceram,"[(15, 1)]"
1967,oralidade,"[(15, 1)]"
1968,clandestinidade,"[(15, 1), (16, 1), (50, 1)]"
1969,serem,"[(15, 1), (44, 1), (50, 1), (61, 1), (99, 2)]"
1970,registradas,"[(15, 1)]"
1971,irmãos,"[(15, 1), (91, 1)]"
1972,irmãs,"[(15, 1)]"
1973,caminharam,"[(15, 1)]"
1974,podemos,"[(15, 1), (44, 1), (71, 1), (99, 4)]"
1975,comemoramos,"[(15, 2)]"
1976,rememoramos,"[(15, 2)]"
1977,sublinhou,"[(15, 1)]"
1978,profeta,"[(15, 1)]"
1979,isaías,"[(15, 1)]"
1980,dizendo,"[(15, 1), (49, 1), (56, 3), (93, 1), (99, 1), (107, 1), (111, 2)]"
1981,jejum,"[(15, 1)]"
1982,desejo,"[(15, 1), (94, 1)]"
1983,libertes,"[(15, 1)]"
1984,amarras,"[(15, 1)]"
1985,malignidade,"[(15, 1)]"
1986,desfaças,"[(15, 1)]"
1987,ataduras,"[(15, 1)]"
1988,opressão,"[(15, 4)]"
1989,ponhas,"[(15, 1)]"
1990,despedaces,"[(15, 1)]"
1991,jugo,"[(15, 1)]"
1992,manifestando,"[(15, 1)]"
1993,prazer,"[(15, 1), (35, 1), (99, 1)]"
1994,regozijo,"[(15, 1)]"
1995,arcebispo,"[(15, 1)]"
1996,anglicano,"[(15, 1)]"
1997,sul-africano,"[(15, 1)]"
1998,desmond,"[(15, 2)]"
1999,tutu,"[(15, 2)]"
2000,daqueles,"[(15, 2), (56, 1), (119, 1)]"
2001,seguidores,"[(15, 3), (86, 1), (105, 1)]"
2002,lutaram,"[(15, 2), (16, 2), (65, 2)]"
2003,áfrica,"[(15, 1), (43, 1), (51, 1), (64, 1), (73, 1)]"
2004,projeto,"[(15, 3), (17, 1), (45, 2), (50, 1), (60, 1), (64, 1), (70, 1), (73, 1), (75, 1), (86, 3), (89, 4), (94, 3), (99, 2), (112, 1), (118, 1), (122, 3), (123, 2), (139, 1)]"
2005,estabeleceu,"[(15, 1), (83, 1)]"
2006,medidas,"[(15, 1), (17, 1), (19, 1), (35, 1), (45, 1), (60, 2), (75, 1), (78, 1), (89, 1), (94, 1), (99, 2), (136, 2)]"
2007,materiais,"[(15, 1), (70, 2)]"
2008,segregação,"[(15, 1), (73, 1)]"
2009,racial,"[(15, 1), (73, 1)]"
2010,defendido,"[(15, 1)]"
2011,apartheid,"[(15, 1), (73, 1)]"
2012,fizeram,"[(15, 1), (18, 1), (35, 1), (50, 1), (56, 1), (73, 2), (118, 2), (121, 2), (122, 1)]"
2013,entender,"[(15, 1), (93, 1), (111, 5), (118, 2), (119, 2)]"
2014,naquele,"[(15, 1), (46, 1), (56, 2), (65, 1), (73, 1), (126, 1)]"
2015,daquele,"[(15, 1), (18, 1), (46, 1), (56, 1), (120, 1), (126, 1)]"
2016,tornando-os,"[(15, 1)]"
2017,menos,"[(15, 1), (39, 1), (43, 2), (46, 1), (50, 1), (56, 1), (63, 1), (75, 8), (86, 2), (91, 1), (98, 1), (99, 2), (101, 1), (105, 1), (110, 2), (111, 1), (119, 1), (124, 3), (132, 1), (133, 2), (134, 1), (138, 1)]"
2018,deveriam,"[(15, 1), (108, 1), (126, 1)]"
2019,andou,"[(15, 1)]"
2020,trilhos,"[(15, 1), (50, 1)]"
2021,estabelecer,"[(15, 1), (75, 1), (93, 1)]"
2022,desumanização,"[(15, 1)]"
2023,daquelas,"[(15, 1), (129, 1)]"
2024,defendiam,"[(15, 1)]"
2025,transformação,"[(15, 1), (117, 1), (126, 1)]"
2026,profundamente,"[(15, 1)]"
2027,desigual,"[(15, 1)]"
2028,nacional,"[(15, 1), (17, 1), (35, 1), (37, 1), (44, 6), (45, 4), (46, 1), (47, 1), (51, 1), (54, 1), (65, 2), (73, 1), (75, 4), (78, 2), (83, 1), (89, 2), (91, 4), (93, 1), (94, 1), (98, 2), (105, 1), (108, 2), (109, 2), (117, 1), (119, 1), (126, 4), (129, 1), (133, 1), (134, 2), (136, 2), (141, 2)]"
2029,verdade,"[(15, 1), (16, 2), (18, 1), (37, 2), (39, 1), (45, 1), (47, 1), (49, 1), (56, 3), (66, 1), (70, 1), (83, 1), (99, 3), (108, 1), (109, 1), (120, 1), (125, 1), (129, 3), (137, 1)]"
2030,confirma,"[(15, 1)]"
2031,relatório,"[(15, 1), (89, 2), (91, 1), (98, 2)]"
2032,mortes,"[(15, 1), (91, 1), (124, 1)]"
2033,desaparecidas,"[(15, 1)]"
2034,nazaré,"[(15, 1)]"
2035,repudiamos,"[(15, 2)]"
2036,aceitaremos,"[(15, 1)]"
2037,manifestações,"[(15, 1), (19, 1), (50, 2), (66, 1), (109, 3), (117, 3), (136, 1)]"
2038,comemorações,"[(15, 1), (66, 1), (111, 2), (142, 2)]"
2039,regimes,"[(15, 1), (64, 1)]"
2040,opressores,"[(15, 1)]"
2041,historicamente,"[(15, 1)]"
2042,serviram,"[(15, 1), (126, 1)]"
2043,perpetuar,"[(15, 1)]"
2044,desigualdade,"[(15, 1), (50, 3), (51, 2), (94, 1)]"
2045,socioeconômica,"[(15, 1)]"
2046,destruir,"[(15, 1), (117, 1)]"
2047,tentativa,"[(15, 1), (44, 2), (99, 1), (109, 1), (118, 5), (124, 1)]"
2048,impulsionar,"[(15, 1), (75, 1)]"
2049,inconstitucional,"[(15, 1), (142, 1)]"
2050,incompatível,"[(15, 1), (18, 1), (44, 1)]"
2051,declara,"[(15, 1), (139, 1)]"
2052,discípulo,"[(15, 1)]"
2053,designada,"[(16, 1)]"
2054,conselheira,"[(16, 1)]"
2055,anistia,"[(16, 5), (65, 1), (137, 1)]"
2056,edição,"[(16, 1), (19, 1)]"
2057,dr,"[(16, 1), (72, 2)]"
2058,marcelo,"[(16, 1), (18, 3), (22, 1), (69, 2), (104, 2), (112, 1), (136, 1)]"
2059,lavenère,"[(16, 1)]"
2060,exercia,"[(16, 1)]"
2061,presidência,"[(16, 1), (18, 1), (37, 2), (64, 1), (65, 1), (75, 1), (86, 1), (93, 1), (98, 2), (107, 1), (111, 1), (112, 1), (114, 1), (120, 1), (121, 2), (141, 1), (142, 1)]"
2062,pro,"[(16, 1), (99, 3)]"
2063,bono,"[(16, 1)]"
2064,relevantes,"[(16, 1)]"
2065,prestados,"[(16, 1)]"
2066,dedicado,"[(16, 1), (45, 1), (110, 1)]"
2067,tripé,"[(16, 1)]"
2068,transição,"[(16, 1)]"
2069,voz,"[(16, 1), (71, 2), (99, 1)]"
2070,liberdades,"[(16, 2), (99, 1), (138, 1)]"
2071,conceder,"[(16, 1), (29, 1)]"
2072,reparação,"[(16, 1)]"
2073,violações,"[(16, 4), (120, 4)]"
2074,sofridas,"[(16, 1)]"
2075,pedir,"[(16, 1), (51, 1), (89, 1), (98, 1), (124, 1)]"
2076,desculpas,"[(16, 1), (107, 1), (121, 1)]"
2077,arbítrio,"[(16, 2)]"
2078,cometido,"[(16, 1)]"
2079,duvida,"[(16, 1)]"
2080,melhores,"[(16, 1), (50, 2), (69, 1), (126, 2), (133, 1), (140, 1)]"
2081,trabalhos,"[(16, 1), (51, 1)]"
2082,produziu,"[(16, 1)]"
2083,transgeracionais,"[(16, 1)]"
2084,atitudes,"[(16, 1), (50, 1)]"
2085,continuam,"[(16, 1), (134, 1)]"
2086,produzindo,"[(16, 1), (98, 1)]"
2087,graves,"[(16, 2), (64, 1), (120, 1), (142, 1)]"
2088,vitimas,"[(16, 1)]"
2089,camponeses,"[(16, 9), (91, 5), (129, 1)]"
2090,quais,"[(16, 1), (45, 2), (50, 1), (65, 1), (99, 1), (118, 2), (119, 2), (120, 1), (141, 1)]"
2091,debrucei,"[(16, 1)]"
2092,falo,"[(16, 1), (99, 2)]"
2093,araguaia,"[(16, 4)]"
2094,onze,"[(16, 2), (56, 1)]"
2095,paraná,"[(16, 1), (46, 1), (51, 1), (83, 1), (98, 1), (108, 1), (117, 1), (123, 1), (136, 3)]"
2096,santa,"[(16, 1), (34, 1), (117, 1)]"
2097,catarina,"[(16, 1), (117, 1)]"
2098,guerrilha,"[(16, 1)]"
2099,conhecida,"[(16, 2), (19, 1), (73, 1), (89, 1), (91, 1), (107, 1), (118, 1), (136, 1)]"
2100,produção,"[(16, 1), (45, 1), (70, 1), (110, 1), (118, 1), (140, 2)]"
2101,vasto,"[(16, 1)]"
2102,incluem,"[(16, 1)]"
2103,livros,"[(16, 1), (35, 2), (44, 1), (101, 1), (105, 1), (110, 1), (118, 1)]"
2104,filmes,"[(16, 1), (35, 1), (118, 2), (141, 1)]"
2105,vistos,"[(16, 1), (118, 1), (119, 1)]"
2106,busca,"[(16, 1), (19, 1), (37, 1), (70, 1), (75, 2), (83, 1), (134, 2)]"
2107,sítios,"[(16, 1), (65, 1)]"
2108,pouco,"[(16, 1), (47, 1), (51, 1), (56, 1), (73, 1), (75, 1), (89, 1), (99, 6), (118, 2), (120, 1), (125, 1), (133, 1), (137, 1), (139, 2), (141, 1), (142, 1)]"
2109,relatos,"[(16, 1)]"
2110,dramáticos,"[(16, 1)]"
2111,proteger,"[(16, 1), (51, 1), (75, 1), (99, 1)]"
2112,guerrilheiros,"[(16, 1)]"
2113,paulistas,"[(16, 1)]"
2114,mata,"[(16, 2), (48, 1), (78, 1)]"
2115,conhecidos,"[(16, 2), (70, 1), (141, 1)]"
2116,pcdob,"[(16, 1), (118, 1), (123, 1)]"
2117,analfabetos,"[(16, 1), (94, 6)]"
2118,sabiam,"[(16, 2), (56, 2), (94, 1)]"
2119,comunicação,"[(16, 1), (50, 1), (66, 1), (109, 1), (134, 1)]"
2120,buracos,"[(16, 1)]"
2121,bacaba,"[(16, 1)]"
2122,marabá,"[(16, 2), (91, 1)]"
2123,torturados,"[(16, 2), (99, 1), (129, 3)]"
2124,diversos,"[(16, 1), (35, 1), (49, 1), (67, 1), (70, 1), (75, 1), (142, 1)]"
2125,métodos,"[(16, 1), (44, 1), (47, 1), (109, 1)]"
2126,ficando,"[(16, 1), (56, 1)]"
2127,pé,"[(16, 1), (39, 1), (66, 1), (83, 1), (118, 1), (125, 2), (133, 1)]"
2128,lata,"[(16, 1)]"
2129,leite,"[(16, 1)]"
2130,moça,"[(16, 1), (49, 1), (87, 1)]"
2131,compelidos,"[(16, 1)]"
2132,guiar,"[(16, 1), (109, 1)]"
2133,perverso,"[(16, 1), (19, 1), (120, 1)]"
2134,expulsão,"[(16, 1)]"
2135,terras,"[(16, 4), (91, 3), (98, 1), (99, 1)]"
2136,ocupavam,"[(16, 1)]"
2137,sequestro,"[(16, 2)]"
2138,adoções,"[(16, 2)]"
2139,ilegais,"[(16, 2), (98, 1)]"
2140,último,"[(16, 1), (18, 1), (45, 1), (83, 1), (94, 1), (107, 1), (109, 2), (110, 1), (118, 1), (120, 1), (129, 1)]"
2141,investigado,"[(16, 1), (91, 1), (98, 2)]"
2142,jornalista,"[(16, 1), (22, 1), (47, 1), (49, 2), (67, 1), (73, 1), (85, 1), (93, 1), (102, 1), (129, 1)]"
2143,reina,"[(16, 3)]"
2144,expulsas,"[(16, 1)]"
2145,colher,"[(16, 1)]"
2146,plantavam,"[(16, 1)]"
2147,puderam,"[(16, 2), (50, 1)]"
2148,retornar,"[(16, 1)]"
2149,encerramento,"[(16, 1)]"
2150,fazendeiros,"[(16, 1), (98, 5)]"
2151,obrigados,"[(16, 1), (99, 1), (141, 1)]"
2152,viver,"[(16, 1), (56, 3), (125, 1), (126, 1)]"
2153,periferia,"[(16, 1)]"
2154,cidades,"[(16, 2), (32, 1), (35, 1), (66, 1), (126, 3)]"
2155,discriminação,"[(16, 1)]"
2156,ajudar,"[(16, 1), (19, 1), (70, 1), (73, 2), (118, 1), (120, 1), (136, 1)]"
2157,terroristas,"[(16, 1)]"
2158,imaginem-se,"[(16, 1)]"
2159,efeitos,"[(16, 1), (60, 1)]"
2160,discriminatórios,"[(16, 1)]"
2161,pequenas,"[(16, 1)]"
2162,registro,"[(16, 2), (17, 2), (110, 1), (141, 2)]"
2163,abertura,"[(16, 1), (43, 1), (64, 1), (71, 1), (76, 1)]"
2164,arquivos,"[(16, 1), (110, 1)]"
2165,repressão,"[(16, 1), (56, 1), (118, 1), (129, 2)]"
2166,poucos,"[(16, 1), (35, 1), (45, 1), (60, 1), (71, 1), (75, 1), (107, 1), (111, 1), (129, 1)]"
2167,conseguiram,"[(16, 2), (72, 1), (82, 1), (109, 1)]"
2168,perseguição,"[(16, 2), (118, 2), (120, 4), (123, 1)]"
2169,largo,"[(16, 1), (117, 1), (118, 1), (123, 1)]"
2170,contestados,"[(16, 1)]"
2171,juízo,"[(16, 1)]"
2172,recém-nomeado,"[(16, 1)]"
2173,conselheiro,"[(16, 1)]"
2174,tema,"[(16, 1), (17, 1), (70, 4), (89, 3), (110, 1), (120, 1), (140, 1)]"
2175,invisibilizado,"[(16, 1)]"
2176,vergonha,"[(16, 1), (45, 1), (86, 1), (119, 1)]"
2177,violadas,"[(16, 1)]"
2178,carregavam,"[(16, 1)]"
2179,culpa,"[(16, 1), (50, 1), (56, 1), (120, 4)]"
2180,casadas,"[(16, 1)]"
2181,banalização,"[(16, 1)]"
2182,machismo,"[(16, 1)]"
2183,considerava,"[(16, 1)]"
2184,banaliza,"[(16, 1)]"
2185,multiplamente,"[(16, 1)]"
